



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-01-06' And DATE '2021-01-06')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
06-JAN-21 01 100769251       1
06-JAN-21 01 311760397       1
06-JAN-21 03 014079607       1
06-JAN-21 03 014501919       1
06-JAN-21 03 014513659       1
06-JAN-21 03 014528167       1
06-JAN-21 03 014551483       1
06-JAN-21 03 014578059       1
06-JAN-21 03 038901674       1
06-JAN-21 03 038913352       1
06-JAN-21 03 038932213       1
06-JAN-21 03 038955728       1
06-JAN-21 03 051928704       1
06-JAN-21 03 051983988       1
06-JAN-21 03 099000247       1
06-JAN-21 03 099008407       1
06-JAN-21 03 100740023       1
06-JAN-21 03 103171219       1
06-JAN-21 03 104740027       1
06-JAN-21 03 111740026       1
06-JAN-21 03 200433819       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
06-JAN-21 03 210979603       1
06-JAN-21 03 214979607       1
06-JAN-21 03 238138918       1
06-JAN-21 03 241138913       1
06-JAN-21 03 253433812       2
06-JAN-21 03 260433811       4
06-JAN-21 03 261714363       4
06-JAN-21 03 268433819       1
06-JAN-21 03 296979605       6
06-JAN-21 03 300328374       1
06-JAN-21 03 301198657       1
06-JAN-21 03 320328378       1
06-JAN-21 03 320947546       2
06-JAN-21 03 321198651       2
06-JAN-21 03 323328371       1
06-JAN-21 03 351328375       1
06-JAN-21 03 356198652       1
06-JAN-21 03 364198652       1
06-JAN-21 03 366328372       1
06-JAN-21 03 371198651       1
06-JAN-21 03 372328370       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
06-JAN-21 03 395129969       1
06-JAN-21 03 414900577       1
06-JAN-21 03 415900578       1
06-JAN-21 03 420900575       1
06-JAN-21 03 423900578       1
06-JAN-21 03 682724870       1
06-JAN-21 03 751118285       1
06-JAN-21 03 924120582       1
06-JAN-21 03 924195971       1
06-JAN-21 04 014550328       1
06-JAN-21 04 099000247       1
06-JAN-21 04 099008407       1
06-JAN-21 04 431198072       1
06-JAN-21 04 432198073       1
06-JAN-21 04 435198076       1
06-JAN-21 04 512043946       2
06-JAN-21 04 519005765       2
06-JAN-21 04 571961462       2
06-JAN-21 04 572974410       1
06-JAN-21 04 608147143       1
06-JAN-21 04 673114713       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
06-JAN-21 04 809414078       2
06-JAN-21 04 954030828       1
06-JAN-21 06 099000247       2
06-JAN-21 06 099003748       1
06-JAN-21 06 099007974       1
06-JAN-21 06 100790042       1
06-JAN-21 06 100799014       1
06-JAN-21 06 100928007       1
06-JAN-21 06 104799018       1
06-JAN-21 06 104928001       1
06-JAN-21 06 152907118       2
06-JAN-21 06 169734158       1
06-JAN-21 06 303738566       1
06-JAN-21 06 310738565       1
06-JAN-21 06 320738567       2
06-JAN-21 06 355738568       1
06-JAN-21 06 362738567       1
06-JAN-21 06 368738563       1
