



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-01-23' And DATE '2021-01-23')
AND (SO.SO_STORE_CD Between '00' And '15')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
23-JAN-21 01 100980083       1
23-JAN-21 01 114179864       1
23-JAN-21 01 119179869       1
23-JAN-21 01 311550289       1
23-JAN-21 01 508048192       1
23-JAN-21 03 001718254       1
23-JAN-21 03 014584103       1
23-JAN-21 03 099000247      10
23-JAN-21 03 099007974       1
23-JAN-21 03 099008407       9
23-JAN-21 03 100187093       3
23-JAN-21 03 100695557       1
23-JAN-21 03 100917345       1
23-JAN-21 03 100984992       1
23-JAN-21 03 101499766       1
23-JAN-21 03 101790144       1
23-JAN-21 03 103799295       1
23-JAN-21 03 105934031       2
23-JAN-21 03 106799298       1
23-JAN-21 03 107198447       1
23-JAN-21 03 107695554       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
23-JAN-21 03 110917347       1
23-JAN-21 03 111187096       1
23-JAN-21 03 111962343       1
23-JAN-21 03 111967797       6
23-JAN-21 03 112193420       1
23-JAN-21 03 112743136       2
23-JAN-21 03 112790147       1
23-JAN-21 03 113187098       1
23-JAN-21 03 113743137       1
23-JAN-21 03 115765200       1
23-JAN-21 03 116499763       1
23-JAN-21 03 119193427       1
23-JAN-21 03 120799094       1
23-JAN-21 03 120799816       1
23-JAN-21 03 120917349       1
23-JAN-21 03 121799095       1
23-JAN-21 03 121799817       1
23-JAN-21 03 126799812       1
23-JAN-21 03 127799813       1
23-JAN-21 03 128799509       1
23-JAN-21 03 130917341       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
23-JAN-21 03 134176761       1
23-JAN-21 03 135176762       1
23-JAN-21 03 140933246       2
23-JAN-21 03 153753946       1
23-JAN-21 03 169198643       1
23-JAN-21 03 170743136       1
23-JAN-21 03 196964413       1
23-JAN-21 03 200109002       1
23-JAN-21 03 200757295       1
23-JAN-21 03 201199468       1
23-JAN-21 03 201741469       1
23-JAN-21 03 208770722       1
23-JAN-21 03 211757298       1
23-JAN-21 03 214199463       1
23-JAN-21 03 214199653       1
23-JAN-21 03 214741464       1
23-JAN-21 03 231007217       1
23-JAN-21 03 231425643       1
23-JAN-21 03 235425647       2
23-JAN-21 03 248425642       8
23-JAN-21 03 252770726       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
23-JAN-21 03 254779980       1
23-JAN-21 03 255199462       6
23-JAN-21 03 255425641       3
23-JAN-21 03 256425642       6
23-JAN-21 03 259770723       6
23-JAN-21 03 260741460       4
23-JAN-21 03 266427903       4
23-JAN-21 03 268199657       1
23-JAN-21 03 268770724       1
23-JAN-21 03 268967795       1
23-JAN-21 03 276904539       1
23-JAN-21 03 287904532       1
23-JAN-21 03 300783772       2
23-JAN-21 03 300799458       1
23-JAN-21 03 301188252       2
23-JAN-21 03 301198823       1
23-JAN-21 03 301487054       1
23-JAN-21 03 301631532       1
