


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-07' And DATE '2021-02-07')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD, ITM_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
07-FEB-21 01 099000247       1
07-FEB-21 01 099008407       1
07-FEB-21 01 201983118       1
07-FEB-21 01 208775924       2
07-FEB-21 01 209775925       2
07-FEB-21 01 261983110       8
07-FEB-21 01 268983117       1
07-FEB-21 01 440139726       1
07-FEB-21 01 440139740       1
07-FEB-21 03 013762706       1
07-FEB-21 03 013794525       1
07-FEB-21 03 014510463       1
07-FEB-21 03 014512544       1
07-FEB-21 03 099000247       7
07-FEB-21 03 099001958       1
07-FEB-21 03 099007974       1
07-FEB-21 03 099008407       4
07-FEB-21 03 100788338       1
07-FEB-21 03 101100458       1
07-FEB-21 03 104788332       1
07-FEB-21 03 105946555       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
07-FEB-21 03 107964911       1
07-FEB-21 03 111917817       6
07-FEB-21 03 115790126       1
07-FEB-21 03 116799240       1
07-FEB-21 03 135946551       1
07-FEB-21 03 150119951       1
07-FEB-21 03 201550452       1
07-FEB-21 03 201741469       1
07-FEB-21 03 205915195       1
07-FEB-21 03 206915196       4
07-FEB-21 03 214741464       1
07-FEB-21 03 263195630       5
07-FEB-21 03 268765254       1
07-FEB-21 03 269499868       1
07-FEB-21 03 301188252       2
07-FEB-21 03 302738565       1
07-FEB-21 03 306188257       1
07-FEB-21 03 306785431       1
07-FEB-21 03 312188255       1
07-FEB-21 03 312799995       1
07-FEB-21 03 320167857       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
07-FEB-21 03 320188255       2
07-FEB-21 03 320698939       2
07-FEB-21 03 320738567       2
07-FEB-21 03 322199490       2
07-FEB-21 03 323738560       1
07-FEB-21 03 355738568       2
07-FEB-21 03 362738567       2
07-FEB-21 03 363188256       1
07-FEB-21 03 364188257       1
07-FEB-21 03 367188250       1
07-FEB-21 03 368738563       2
07-FEB-21 03 400914239       1
07-FEB-21 03 421199553       1
