

SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-13' And DATE '2021-02-13')
AND (SO.SO_STORE_CD Between '00' And '15')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;


SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
13-FEB-21 01 214545014       1
13-FEB-21 01 232158027       1
13-FEB-21 01 954166356       1
13-FEB-21 03 001922904       1
13-FEB-21 03 001938274       1
13-FEB-21 03 001960548       1
13-FEB-21 03 001978759       1
13-FEB-21 03 001990200       1
13-FEB-21 03 001998345       1
13-FEB-21 03 013731686       1
13-FEB-21 03 013733298       1
13-FEB-21 03 013748198       1
13-FEB-21 03 013768823       1
13-FEB-21 03 013781059       1
13-FEB-21 03 014524676       1
13-FEB-21 03 014534552       1
13-FEB-21 03 014549527       1
13-FEB-21 03 014550304       1
13-FEB-21 03 014557409       1
13-FEB-21 03 014580624       1
13-FEB-21 03 014745977       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
13-FEB-21 03 099000247      16
13-FEB-21 03 099007974       1
13-FEB-21 03 099008407      11
13-FEB-21 03 100425051       1
13-FEB-21 03 100772830       1
13-FEB-21 03 100799014       1
13-FEB-21 03 101795360       1
13-FEB-21 03 103199736       2
13-FEB-21 03 103799308       1
13-FEB-21 03 104772834       1
13-FEB-21 03 104799018       1
13-FEB-21 03 105710950       1
13-FEB-21 03 105795364       1
13-FEB-21 03 105909836       2
13-FEB-21 03 106199739       3
13-FEB-21 03 106425057       2
13-FEB-21 03 106799301       1
13-FEB-21 03 112148425       1
13-FEB-21 03 112769255       1
13-FEB-21 03 113920830       1
13-FEB-21 03 118958264       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
13-FEB-21 03 119148422       1
13-FEB-21 03 119958265       1
13-FEB-21 03 120148425       1
13-FEB-21 03 120799094       1
13-FEB-21 03 121799095       1
13-FEB-21 03 123148428       1
13-FEB-21 03 125798528       1
13-FEB-21 03 128799509       1
13-FEB-21 03 137117734       1
13-FEB-21 03 140441611       1
13-FEB-21 03 140954377       2
13-FEB-21 03 140976335       1
13-FEB-21 03 143920836       1
13-FEB-21 03 146979503       1
13-FEB-21 03 151119952       1
13-FEB-21 03 152930383       1
13-FEB-21 03 159199148       1
13-FEB-21 03 163936770       1
13-FEB-21 03 170932149       1
13-FEB-21 03 190547172       4
13-FEB-21 03 200109002       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
13-FEB-21 03 200346953       1
13-FEB-21 03 200799483       1
13-FEB-21 03 200902484       1
13-FEB-21 03 201763148       1
13-FEB-21 03 206985876       1
13-FEB-21 03 207985877       1
13-FEB-21 03 208195633       1
13-FEB-21 03 208770722       1
13-FEB-21 03 208985878       6
13-FEB-21 03 209195634       1
13-FEB-21 03 214199653       1
13-FEB-21 03 231902099       1
13-FEB-21 03 235411307       1
13-FEB-21 03 235799484       1
13-FEB-21 03 238948244       1
13-FEB-21 03 239948245       1
13-FEB-21 03 247799488       1
13-FEB-21 03 249763144       2
