


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-14' And DATE '2021-02-14')
AND (SO.SO_STORE_CD Between '00' And '15')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;


SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
14-FEB-21 01 142729500       1
14-FEB-21 01 320184586       2
14-FEB-21 01 759199586       1
14-FEB-21 03 013784423       1
14-FEB-21 03 014506224       1
14-FEB-21 03 099000247      14
14-FEB-21 03 099007974       1
14-FEB-21 03 099008407      11
14-FEB-21 03 099009411       1
14-FEB-21 03 100776763       1
14-FEB-21 03 100944594       1
14-FEB-21 03 101498132       1
14-FEB-21 03 103799295       1
14-FEB-21 03 109754146       1
14-FEB-21 03 111498134       2
14-FEB-21 03 115799302       2
14-FEB-21 03 118912460       1
14-FEB-21 03 119754148       1
14-FEB-21 03 119912461       1
14-FEB-21 03 123912467       1
14-FEB-21 03 126148421       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
14-FEB-21 03 126199517       1
14-FEB-21 03 126754147       1
14-FEB-21 03 128199519       2
14-FEB-21 03 129199510       2
14-FEB-21 03 129770550       1
14-FEB-21 03 134199517       2
14-FEB-21 03 135199518       2
14-FEB-21 03 139199512       1
14-FEB-21 03 144776765       2
14-FEB-21 03 151957718       1
14-FEB-21 03 152906875       1
14-FEB-21 03 165966080       1
14-FEB-21 03 165970546       1
14-FEB-21 03 208770722       1
14-FEB-21 03 208773590       1
14-FEB-21 03 214199653       1
14-FEB-21 03 253199650       2
14-FEB-21 03 253499860       1
14-FEB-21 03 260199659       4
14-FEB-21 03 261770727       6
14-FEB-21 03 269198389       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
14-FEB-21 03 300933492       1
14-FEB-21 03 301188252       1
14-FEB-21 03 301550287       1
14-FEB-21 03 301933493       1
14-FEB-21 03 302431286       1
14-FEB-21 03 302933494       1
14-FEB-21 03 303437962       2
14-FEB-21 03 303933495       1
14-FEB-21 03 304918773       1
14-FEB-21 03 306431280       1
14-FEB-21 03 309437968       1
14-FEB-21 03 312188255       1
14-FEB-21 03 312437963       1
14-FEB-21 03 314431280       1
14-FEB-21 03 316779909       2
14-FEB-21 03 319499023       2
14-FEB-21 03 319918770       1
14-FEB-21 03 320799577       2
14-FEB-21 03 320918773       1
14-FEB-21 03 321188256       2
14-FEB-21 03 321431289       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
14-FEB-21 03 321437964       3
14-FEB-21 03 348760681       1
14-FEB-21 03 351499023       1
14-FEB-21 03 351799574       1
14-FEB-21 03 355431289       1
14-FEB-21 03 355738568       1
14-FEB-21 03 355983606       1
14-FEB-21 03 356437965       1
14-FEB-21 03 361431287       1
14-FEB-21 03 361434649       1
14-FEB-21 03 362738567       1
14-FEB-21 03 363188256       1
14-FEB-21 03 363499027       1
14-FEB-21 03 363983606       1
14-FEB-21 03 364188257       1
14-FEB-21 03 364437965       1
14-FEB-21 03 365760682       1
14-FEB-21 03 366431282       1
