


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-16' And DATE '2021-02-16')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;




SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
16-FEB-21 00 152699420       1
16-FEB-21 01 013794525       1
16-FEB-21 01 014508507       1
16-FEB-21 01 099000247       1
16-FEB-21 01 099001958       1
16-FEB-21 01 099008407       1
16-FEB-21 01 100750858       1
16-FEB-21 01 268775926       1
16-FEB-21 01 275775925       1
16-FEB-21 01 314431280       1
16-FEB-21 01 944742899       1
16-FEB-21 01 945718419       1
16-FEB-21 01 980008518       1
16-FEB-21 03 013762706       1
16-FEB-21 03 014515502       1
16-FEB-21 03 014557598       1
16-FEB-21 03 038973776       1
16-FEB-21 03 051911418       1
16-FEB-21 03 065937355       1
16-FEB-21 03 099000247      10
16-FEB-21 03 099001958       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
16-FEB-21 03 099008407       7
16-FEB-21 03 099009411       1
16-FEB-21 03 103170508       1
16-FEB-21 03 103799295       2
16-FEB-21 03 104974604       1
16-FEB-21 03 107765200       1
16-FEB-21 03 107974607       1
16-FEB-21 03 108199577       1
16-FEB-21 03 116199577       1
16-FEB-21 03 117199578       2
16-FEB-21 03 122799642       1
16-FEB-21 03 123799643       1
16-FEB-21 03 125799645       1
16-FEB-21 03 128799648       1
16-FEB-21 03 129765206       1
16-FEB-21 03 129799649       1
16-FEB-21 03 180974606       1
16-FEB-21 03 196974604       1
16-FEB-21 03 200713281       1
16-FEB-21 03 231433816       1
16-FEB-21 03 235433810       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
16-FEB-21 03 235799484       1
16-FEB-21 03 247799488       1
16-FEB-21 03 255433814       4
16-FEB-21 03 259713280       6
16-FEB-21 03 262713285       2
16-FEB-21 03 268713281       1
16-FEB-21 03 270931592       1
16-FEB-21 03 301487054       1
16-FEB-21 03 320198826       1
16-FEB-21 03 320328378       2
16-FEB-21 03 321487058       2
16-FEB-21 03 321711500       2
16-FEB-21 03 346148302       1
16-FEB-21 03 347148303       1
16-FEB-21 03 348328370       1
16-FEB-21 03 351553601       1
16-FEB-21 03 351563032       1
16-FEB-21 03 351711506       1
16-FEB-21 03 354933105       2
16-FEB-21 03 355933106       2
16-FEB-21 03 356487059       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
16-FEB-21 03 358914717       1
16-FEB-21 03 359914718       1
16-FEB-21 03 363553605       1
16-FEB-21 03 363563036       1
16-FEB-21 03 364487059       1
16-FEB-21 03 365328371       1
16-FEB-21 03 366328372       1
16-FEB-21 03 367148307       1
16-FEB-21 03 367711504       1
16-FEB-21 03 368148308       1
16-FEB-21 03 369148309       2
16-FEB-21 03 372711501       1
16-FEB-21 03 505099196       2
16-FEB-21 03 507043949       1
16-FEB-21 03 507099198       1
16-FEB-21 03 508088881       1
16-FEB-21 03 516043940       1
16-FEB-21 03 516088881       1
