



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-19' And DATE '2021-02-19')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;




SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
19-FEB-21 01 603459707       1
19-FEB-21 03 011954927       1
19-FEB-21 03 011962621       1
19-FEB-21 03 020987826       1
19-FEB-21 03 099000247       5
19-FEB-21 03 099007974       1
19-FEB-21 03 099008407       2
19-FEB-21 03 100772830       1
19-FEB-21 03 100776763       2
19-FEB-21 03 101499766       1
19-FEB-21 03 106699753       1
19-FEB-21 03 108425059       1
19-FEB-21 03 108699755       1
19-FEB-21 03 111299613       2
19-FEB-21 03 116499763       1
19-FEB-21 03 116772838       1
19-FEB-21 03 140132717       1
19-FEB-21 03 140923144       2
19-FEB-21 03 144732561       1
19-FEB-21 03 151119952       1
19-FEB-21 03 151991354       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
19-FEB-21 03 170785095       1
19-FEB-21 03 201741469       1
19-FEB-21 03 214741464       1
19-FEB-21 03 227779987       1
19-FEB-21 03 231433816       1
19-FEB-21 03 235433810       1
19-FEB-21 03 254425640       3
19-FEB-21 03 255433814       6
19-FEB-21 03 260741460       4
19-FEB-21 03 301188252       1
19-FEB-21 03 303497386       1
19-FEB-21 03 309499021       1
19-FEB-21 03 321188256       2
19-FEB-21 03 321497388       2
19-FEB-21 03 334188251       1
19-FEB-21 03 335188252       1
19-FEB-21 03 356497389       1
19-FEB-21 03 363188256       1
19-FEB-21 03 364188257       1
19-FEB-21 03 364497389       1
19-FEB-21 03 366497381       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
19-FEB-21 03 367188250       1
19-FEB-21 03 403195921       1
19-FEB-21 03 405195923       1
19-FEB-21 03 517043941       1
19-FEB-21 03 535030617       1
19-FEB-21 03 630763527       2
19-FEB-21 03 776903873       1
19-FEB-21 03 922134111       1
19-FEB-21 03 923118182       1
19-FEB-21 03 923118360       1
19-FEB-21 03 944128570       1
19-FEB-21 03 951121246       1
19-FEB-21 03 951121498       1
19-FEB-21 03 951121501       1
19-FEB-21 03 953967365       1
19-FEB-21 03 954112187       1
19-FEB-21 03 954211365       1
19-FEB-21 03 954216531       1
19-FEB-21 03 961125791       1
19-FEB-21 04 196902158       1
19-FEB-21 04 506043948       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
19-FEB-21 04 507043949       2
19-FEB-21 04 521045256       2
19-FEB-21 04 600418861       1
19-FEB-21 04 791962383       1
19-FEB-21 04 954196979       1
19-FEB-21 06 099008419       1
19-FEB-21 06 103178504       1
19-FEB-21 06 111756740       2
19-FEB-21 06 128199519       1
19-FEB-21 06 129199510       1
19-FEB-21 06 134199517       1
19-FEB-21 06 135199518       1
19-FEB-21 06 201925039       1
19-FEB-21 06 211925031       1
19-FEB-21 06 248499863       2
19-FEB-21 06 256499863       4
19-FEB-21 06 300783772       1
19-FEB-21 06 302473967       1
