

SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-22' And DATE '2021-02-22')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
22-FEB-21 00 263998911       2
22-FEB-21 00 812998017       1
22-FEB-21 01 038944612       1
22-FEB-21 01 051961374       1
22-FEB-21 01 100799925       1
22-FEB-21 01 103776576       1
22-FEB-21 01 104799929       1
22-FEB-21 01 108776571       1
22-FEB-21 01 115776570       1
22-FEB-21 01 116780758       1
22-FEB-21 01 123776570       1
22-FEB-21 01 151177548       1
22-FEB-21 01 230799124       1
22-FEB-21 01 231160641       1
22-FEB-21 01 232160642       1
22-FEB-21 01 232799126       1
22-FEB-21 01 254799122       2
22-FEB-21 01 255160649       4
22-FEB-21 01 261799121       4
22-FEB-21 01 321130433       1
22-FEB-21 01 351130439       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
22-FEB-21 01 507039837       1
22-FEB-21 01 521045256       1
22-FEB-21 01 528099193       1
22-FEB-21 01 529007165       1
22-FEB-21 03 013733298       1
22-FEB-21 03 014561547       1
22-FEB-21 03 014583846       1
22-FEB-21 03 099000247       5
22-FEB-21 03 099001958       1
22-FEB-21 03 099007974       1
22-FEB-21 03 099008407       2
22-FEB-21 03 099009411       2
22-FEB-21 03 100155387       1
22-FEB-21 03 100907609       1
22-FEB-21 03 101790144       1
22-FEB-21 03 104750852       1
22-FEB-21 03 111155380       1
22-FEB-21 03 113155382       1
22-FEB-21 03 135959433       1
22-FEB-21 03 144608518       1
22-FEB-21 03 201199468       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
22-FEB-21 03 201550452       1
22-FEB-21 03 214199463       1
22-FEB-21 03 217139078       1
22-FEB-21 03 220139073       1
22-FEB-21 03 229549386       1
22-FEB-21 03 231009831       1
22-FEB-21 03 235549384       1
22-FEB-21 03 238992110       1
22-FEB-21 03 239992111       1
22-FEB-21 03 248199463       2
22-FEB-21 03 248549389       5
22-FEB-21 03 255199462       4
22-FEB-21 03 259713280       2
22-FEB-21 03 260992118       6
22-FEB-21 03 269199468       1
22-FEB-21 03 276139079       1
22-FEB-21 03 292744022       4
22-FEB-21 03 299956434       1
22-FEB-21 03 300553600       1
22-FEB-21 03 302536226       1
22-FEB-21 03 304799680       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
22-FEB-21 03 306199490       1
22-FEB-21 03 306536220       1
22-FEB-21 03 317939998       1
22-FEB-21 03 319799574       2
22-FEB-21 03 320473969       1
22-FEB-21 03 320799680       2
22-FEB-21 03 321536229       1
22-FEB-21 03 321553605       2
22-FEB-21 03 322788184       1
22-FEB-21 03 323536221       1
22-FEB-21 03 351553601       1
22-FEB-21 03 358536222       1
22-FEB-21 03 363188256       1
22-FEB-21 03 363553605       1
22-FEB-21 03 363799681       1
22-FEB-21 03 364188257       1
22-FEB-21 03 367188250       1
22-FEB-21 03 372799682       1
