







SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-25' And DATE '2021-02-25')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
25-FEB-21 01 106745447       1
25-FEB-21 01 929130122       1
25-FEB-21 03 014533334       1
25-FEB-21 03 107772837       1
25-FEB-21 03 108199577       1
25-FEB-21 03 115799302       1
25-FEB-21 03 116199577       1
25-FEB-21 03 116772838       1
25-FEB-21 03 117199578       1
25-FEB-21 03 121199574       1
25-FEB-21 03 128199519       1
25-FEB-21 03 129199510       2
25-FEB-21 03 134199517       1
25-FEB-21 03 135199518       1
25-FEB-21 03 256425642       8
25-FEB-21 03 261425649       4
25-FEB-21 03 320188255       2
25-FEB-21 03 363188256       1
25-FEB-21 03 364188257       1
25-FEB-21 03 367188250       1
25-FEB-21 03 506046879       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
25-FEB-21 03 507046870       1
25-FEB-21 03 516039838       1
25-FEB-21 03 517039839       1
25-FEB-21 03 518039830       1
25-FEB-21 03 519039831       2
25-FEB-21 03 521045256       1
25-FEB-21 03 523035699       1
25-FEB-21 03 705126907       1
25-FEB-21 03 758461417       1
25-FEB-21 03 759712803       1
25-FEB-21 03 910153701       2
25-FEB-21 03 910214256       1
25-FEB-21 03 923215063       1
25-FEB-21 03 941185692       1
25-FEB-21 04 064917504       1
25-FEB-21 04 099000247       1
25-FEB-21 04 099008407       1
25-FEB-21 04 100439252       1
25-FEB-21 04 111439255       1
25-FEB-21 04 162927148       1
25-FEB-21 04 208490158       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
25-FEB-21 04 209490159       1
25-FEB-21 04 261490153       6
25-FEB-21 04 268490150       1
25-FEB-21 04 312448550       1
25-FEB-21 04 319473966       1
25-FEB-21 04 672752233       1
25-FEB-21 04 906021112       1
25-FEB-21 06 099000247       1
25-FEB-21 06 099007974       1
25-FEB-21 06 137117734       2
25-FEB-21 06 142117731       4
25-FEB-21 06 148117737       2
25-FEB-21 06 758752111       1
25-FEB-21 06 923150863       1
25-FEB-21 08 100439252       1
25-FEB-21 08 100906075       1
25-FEB-21 08 113155382       1
25-FEB-21 08 135950447       1
25-FEB-21 08 140906059       1
25-FEB-21 08 143138596       1
25-FEB-21 08 144436347       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
25-FEB-21 08 268495655       1
25-FEB-21 08 270922783       1
25-FEB-21 08 347788183       1
25-FEB-21 08 348788184       1
25-FEB-21 08 354799680       1
25-FEB-21 08 355788183       1
25-FEB-21 08 355799681       1
25-FEB-21 08 361799689       1
25-FEB-21 08 626922783       1
25-FEB-21 08 759784537       2
25-FEB-21 08 763928856       1
25-FEB-21 08 910128708       2
25-FEB-21 08 910727811       2
25-FEB-21 08 944130688       1
25-FEB-21 08 951039138       1
25-FEB-21 08 954189861       1
25-FEB-21 08 954199569       1
25-FEB-21 09 998938266       5
