




SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-26' And DATE '2021-02-26')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;


SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
26-FEB-21 01 100155387       1
26-FEB-21 01 320499583       2
26-FEB-21 01 321198827       1
26-FEB-21 01 351499580       1
26-FEB-21 01 363198827       1
26-FEB-21 01 364198828       1
26-FEB-21 01 367198821       1
26-FEB-21 03 100799014       1
26-FEB-21 03 104799018       1
26-FEB-21 03 118180986       1
26-FEB-21 03 119180987       1
26-FEB-21 03 126180986       1
26-FEB-21 03 127180987       1
26-FEB-21 03 200346953       1
26-FEB-21 03 253346956       2
26-FEB-21 03 260346955       4
26-FEB-21 03 262411300       1
26-FEB-21 03 272150512       1
26-FEB-21 03 278150518       1
26-FEB-21 03 312553604       1
26-FEB-21 03 355487058       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
26-FEB-21 03 362487057       1
26-FEB-21 03 367434645       1
26-FEB-21 03 508099808       1
26-FEB-21 03 509099809       2
26-FEB-21 03 516065504       1
26-FEB-21 03 517046872       1
26-FEB-21 03 518099800       1
26-FEB-21 03 528085473       1
26-FEB-21 03 529085474       1
26-FEB-21 03 530085477       1
26-FEB-21 03 533061002       1
26-FEB-21 03 603626461       1
26-FEB-21 03 626152920       1
26-FEB-21 03 682724870       1
26-FEB-21 03 751118285       1
26-FEB-21 04 150783934       2
26-FEB-21 04 320487057       2
26-FEB-21 04 351487054       1
26-FEB-21 04 363487058       1
26-FEB-21 04 662429589       1
26-FEB-21 06 014749761       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
26-FEB-21 06 099000247       1
26-FEB-21 06 099008407       1
26-FEB-21 06 100171216       1
26-FEB-21 06 111171219       1
26-FEB-21 06 113171211       1
26-FEB-21 06 115171213       1
26-FEB-21 06 174197686       1
26-FEB-21 06 184197688       1
26-FEB-21 06 186197680       1
26-FEB-21 06 201199468       1
26-FEB-21 06 214199463       1
26-FEB-21 06 248199463       2
26-FEB-21 06 255199462       4
26-FEB-21 06 255495650       5
26-FEB-21 06 269199468       1
26-FEB-21 06 301188252       2
26-FEB-21 06 320188255       2
26-FEB-21 06 321188256       2
26-FEB-21 06 363188256       1
26-FEB-21 06 364188257       1
26-FEB-21 06 367188250       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
26-FEB-21 06 506082875       1
26-FEB-21 06 517030069       1
26-FEB-21 06 675644732       1
26-FEB-21 06 810499651       2
26-FEB-21 08 099000247       2
26-FEB-21 08 099007974       1
26-FEB-21 08 099008952       1
26-FEB-21 08 100983039       1
26-FEB-21 08 101795360       1
26-FEB-21 08 111983032       2
26-FEB-21 08 113799817       1
26-FEB-21 08 113983034       2
26-FEB-21 08 114795365       1
26-FEB-21 08 120799816       1
26-FEB-21 08 121799817       1
26-FEB-21 08 126799812       1
26-FEB-21 08 127799813       1
26-FEB-21 08 129799815       1
