




SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-27' And DATE '2021-02-27')
AND (SO.SO_STORE_CD Between '00' And '10')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;


SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
27-FEB-21 01 100685986       1
27-FEB-21 01 104685980       1
27-FEB-21 01 200427094       1
27-FEB-21 01 231765251       1
27-FEB-21 01 235765255       1
27-FEB-21 01 254427098       2
27-FEB-21 01 262427098       4
27-FEB-21 01 321139114       1
27-FEB-21 01 929908626       1
27-FEB-21 03 011942162       1
27-FEB-21 03 011998474       1
27-FEB-21 03 013748198       1
27-FEB-21 03 014539716       1
27-FEB-21 03 014575990       1
27-FEB-21 03 020915065       1
27-FEB-21 03 057931365       1
27-FEB-21 03 099000247       9
27-FEB-21 03 099003748       2
27-FEB-21 03 099004562       1
27-FEB-21 03 099008407       4
27-FEB-21 03 099009411       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
27-FEB-21 03 100776763       1
27-FEB-21 03 100788338       1
27-FEB-21 03 100799242       2
27-FEB-21 03 100917903       1
27-FEB-21 03 100920001       1
27-FEB-21 03 100936876       1
27-FEB-21 03 100970703       1
27-FEB-21 03 101498132       1
27-FEB-21 03 101795360       1
27-FEB-21 03 102970705       1
27-FEB-21 03 103970706       1
27-FEB-21 03 104788332       1
27-FEB-21 03 104942948       1
27-FEB-21 03 105942949       1
27-FEB-21 03 106148427       1
27-FEB-21 03 108905223       1
27-FEB-21 03 111966769       2
27-FEB-21 03 112710959       1
27-FEB-21 03 112788332       1
27-FEB-21 03 112799501       2
27-FEB-21 03 114795365       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
27-FEB-21 03 115170502       1
27-FEB-21 03 115199730       1
27-FEB-21 03 128799509       1
27-FEB-21 03 135963987       1
27-FEB-21 03 140441611       2
27-FEB-21 03 140916593       1
27-FEB-21 03 141916594       1
27-FEB-21 03 143138596       1
27-FEB-21 03 144920003       2
27-FEB-21 03 146924130       1
27-FEB-21 03 156909750       1
27-FEB-21 03 169199669       1
27-FEB-21 03 200974651       1
27-FEB-21 03 201189188       1
27-FEB-21 03 207903914       2
27-FEB-21 03 208490158       1
27-FEB-21 03 209490159       1
27-FEB-21 03 209974650       1
27-FEB-21 03 210144743       1
27-FEB-21 03 210195637       1
27-FEB-21 03 211144744       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
27-FEB-21 03 213144746       1
27-FEB-21 03 214195631       1
27-FEB-21 03 230495651       1
27-FEB-21 03 231765251       1
27-FEB-21 03 235765255       1
27-FEB-21 03 252189189       2
27-FEB-21 03 252411308       4
27-FEB-21 03 253442645       2
27-FEB-21 03 253499860       1
27-FEB-21 03 254195639       2
27-FEB-21 03 259189186       4
27-FEB-21 03 260442644       6
27-FEB-21 03 261974654       4
27-FEB-21 03 262195639       4
27-FEB-21 03 262433849       2
27-FEB-21 03 263765259       5
27-FEB-21 03 263974656       2
27-FEB-21 03 268189187       1
