


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-03-01' And DATE '2021-03-01')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
01-MAR-21 01 038975934       1
01-MAR-21 01 051999866       1
01-MAR-21 01 099000247       1
01-MAR-21 01 099008407       2
01-MAR-21 01 099008419       1
01-MAR-21 01 101756748       1
01-MAR-21 01 107765200       1
01-MAR-21 01 111756740       1
01-MAR-21 01 115799009       1
01-MAR-21 01 129765206       1
01-MAR-21 01 217199531       1
01-MAR-21 01 220199536       1
01-MAR-21 01 254910500       2
01-MAR-21 01 261910509      10
01-MAR-21 01 276199532       1
01-MAR-21 01 278199534       1
01-MAR-21 01 767179964       1
01-MAR-21 03 013733298       1
01-MAR-21 03 013762706       1
01-MAR-21 03 014525995       1
01-MAR-21 03 014526719       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
01-MAR-21 03 014749278       1
01-MAR-21 03 099000247       6
01-MAR-21 03 099001958       2
01-MAR-21 03 099003748       1
01-MAR-21 03 099007974       1
01-MAR-21 03 099008407       4
01-MAR-21 03 100685986       1
01-MAR-21 03 100776763       1
01-MAR-21 03 104685980       1
01-MAR-21 03 111685989       1
01-MAR-21 03 113757910       1
01-MAR-21 03 118180986       1
01-MAR-21 03 119180987       1
01-MAR-21 03 122757911       1
01-MAR-21 03 123757912       1
01-MAR-21 03 125901341       1
01-MAR-21 03 126180986       1
01-MAR-21 03 126757915       2
01-MAR-21 03 127180987       1
01-MAR-21 03 128799509       1
01-MAR-21 03 135960145       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
01-MAR-21 03 137117734       1
01-MAR-21 03 140906112       1
01-MAR-21 03 144646001       2
01-MAR-21 03 144776765       2
01-MAR-21 03 146117735       1
01-MAR-21 03 155901347       1
01-MAR-21 03 162982358       1
01-MAR-21 03 163905383       1
01-MAR-21 03 165901349       1
01-MAR-21 03 201189188       1
01-MAR-21 03 201199468       1
01-MAR-21 03 203550454       1
01-MAR-21 03 214199463       1
01-MAR-21 03 230799124       1
01-MAR-21 03 231916721       1
01-MAR-21 03 232799126       1
01-MAR-21 03 235916725       1
01-MAR-21 03 248199463       2
01-MAR-21 03 252189189       2
01-MAR-21 03 254779980       4
01-MAR-21 03 254799122       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
01-MAR-21 03 255199462       6
01-MAR-21 03 259189186       4
01-MAR-21 03 261799121       4
01-MAR-21 03 268773592       1
01-MAR-21 03 268799128       1
01-MAR-21 03 269549384       1
01-MAR-21 03 280148062       1
01-MAR-21 03 281148063       1
01-MAR-21 03 294148068       4
01-MAR-21 03 301198657       1
01-MAR-21 03 303716988       1
01-MAR-21 03 304785439       1
01-MAR-21 03 320473969       2
01-MAR-21 03 321198651       2
01-MAR-21 03 321785430       1
01-MAR-21 03 323716982       2
01-MAR-21 03 323785432       1
01-MAR-21 03 351785436       1
