

SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-03-09' And DATE '2021-03-09')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;




SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
09-MAR-21 01 156964150       1
09-MAR-21 01 509085470       2
09-MAR-21 01 758144112       1
09-MAR-21 03 038999263       1
09-MAR-21 03 049921148       1
09-MAR-21 03 051916052       1
09-MAR-21 03 099000247       6
09-MAR-21 03 099008407       5
09-MAR-21 03 100155387       1
09-MAR-21 03 116105847       2
09-MAR-21 03 120713842       1
09-MAR-21 03 121713843       1
09-MAR-21 03 136982243       1
09-MAR-21 03 144740429       1
09-MAR-21 03 147138502       1
09-MAR-21 03 147199168       1
09-MAR-21 03 148199169       1
09-MAR-21 03 150958783       1
09-MAR-21 03 153160305       2
09-MAR-21 03 167198641       1
09-MAR-21 03 169734158       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
09-MAR-21 03 171198647       1
09-MAR-21 03 196972268       1
09-MAR-21 03 229549386       1
09-MAR-21 03 235549384       1
09-MAR-21 03 248549389       4
09-MAR-21 03 268905327       1
09-MAR-21 03 269545019       1
09-MAR-21 03 301198823       1
09-MAR-21 03 304799452       1
09-MAR-21 03 306198828       1
09-MAR-21 03 321198827       2
09-MAR-21 03 363198827       1
09-MAR-21 03 364198828       1
09-MAR-21 03 367198821       1
09-MAR-21 03 430947272       2
09-MAR-21 03 630763527       1
09-MAR-21 03 667884906       1
09-MAR-21 03 682724870       1
09-MAR-21 03 785564228       1
09-MAR-21 03 791564226       1
09-MAR-21 03 923104931       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
09-MAR-21 03 923118702       1
09-MAR-21 03 923123703       1
09-MAR-21 03 923133805       1
09-MAR-21 03 926910349       1
09-MAR-21 03 939112443       1
09-MAR-21 04 100186899       1
09-MAR-21 04 111186892       1
09-MAR-21 04 111544688       1
09-MAR-21 04 113186894       1
09-MAR-21 04 113544680       1
09-MAR-21 04 150156923       1
09-MAR-21 04 521045256       4
09-MAR-21 04 600459843       1
09-MAR-21 04 630418867       1
09-MAR-21 04 688459847       1
09-MAR-21 06 099000247       2
09-MAR-21 06 099003748       2
09-MAR-21 06 104929596       2
09-MAR-21 06 144720833       2
09-MAR-21 06 246924410       2
09-MAR-21 06 247924411       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
09-MAR-21 06 268189187       1
09-MAR-21 06 400165040       1
09-MAR-21 06 430950887       1
09-MAR-21 06 790674987       1
09-MAR-21 08 111100450       1
09-MAR-21 08 113799019       1
09-MAR-21 08 125176760       1
09-MAR-21 08 126176761       1
09-MAR-21 08 127176762       1
09-MAR-21 08 129176764       1
09-MAR-21 08 129799360       1
09-MAR-21 08 134176761       1
09-MAR-21 08 135176762       1
09-MAR-21 08 260744024       4
09-MAR-21 08 280744028       1
09-MAR-21 08 287744025       1
09-MAR-21 08 301550287       1
09-MAR-21 08 306163697       1
