



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-03-17' And DATE '2021-03-17')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
17-MAR-21 01 038908058       1
17-MAR-21 01 038956302       1
17-MAR-21 01 038970667       1
17-MAR-21 01 051908308       1
17-MAR-21 01 144128421       1
17-MAR-21 01 303188165       1
17-MAR-21 01 626712233       1
17-MAR-21 03 057934210       1
17-MAR-21 03 099008407       2
17-MAR-21 03 099008419       2
17-MAR-21 03 110754149       1
17-MAR-21 03 120754141       1
17-MAR-21 03 126754147       1
17-MAR-21 03 262112801       4
17-MAR-21 03 301173314       1
17-MAR-21 03 303738566       1
17-MAR-21 03 312173317       1
17-MAR-21 03 319799687       2
17-MAR-21 03 320173317       2
17-MAR-21 03 320738567       1
17-MAR-21 03 351173314       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
17-MAR-21 03 355738568       1
17-MAR-21 03 362487057       1
17-MAR-21 03 363173318       1
17-MAR-21 03 367173312       1
17-MAR-21 03 448189022       1
17-MAR-21 03 449189023       1
17-MAR-21 03 502099319       1
17-MAR-21 03 519005765       2
17-MAR-21 03 522099313       1
17-MAR-21 03 622114700       1
17-MAR-21 03 623114701       1
17-MAR-21 03 675760966       1
17-MAR-21 03 776199727       1
17-MAR-21 03 906014648       1
17-MAR-21 03 910161936       1
17-MAR-21 03 910211856       1
17-MAR-21 03 941112079       1
17-MAR-21 03 954118886       1
17-MAR-21 03 954125893       1
17-MAR-21 04 099007962       1
17-MAR-21 04 099008407       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
17-MAR-21 04 303797558       1
17-MAR-21 04 309797554       1
17-MAR-21 04 320797559       1
17-MAR-21 04 338797559       1
17-MAR-21 04 348797551       1
17-MAR-21 04 365797552       1
17-MAR-21 04 533003341       1
17-MAR-21 06 100748360       1
17-MAR-21 06 110748362       1
17-MAR-21 06 113748365       1
17-MAR-21 06 144748362       1
17-MAR-21 06 268189187       1
17-MAR-21 06 300975375       1
17-MAR-21 06 301975376       1
17-MAR-21 06 302975377       1
17-MAR-21 06 303975378       1
17-MAR-21 06 304975379       1
17-MAR-21 06 305975370       2
17-MAR-21 06 306975371       1
17-MAR-21 06 307975372       1
17-MAR-21 06 792926821       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
17-MAR-21 06 795337938       1
17-MAR-21 06 796337939       1
17-MAR-21 06 797337930       1
17-MAR-21 08 099007962       1
17-MAR-21 08 125798528       1
17-MAR-21 08 128799509       1
17-MAR-21 08 129799500       1
17-MAR-21 08 147798524       1
17-MAR-21 08 148199246       1
17-MAR-21 08 214545014       1
17-MAR-21 08 231007217       1
17-MAR-21 08 256545014       4
17-MAR-21 08 263725142       3
17-MAR-21 08 264428484       3
17-MAR-21 08 317499588       2
17-MAR-21 08 351499580       1
17-MAR-21 08 365499586       1
17-MAR-21 08 367499588       1
