



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-03-20' And DATE '2021-03-20')
AND (SO.SO_STORE_CD Between '00' And '15')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;


SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
20-MAR-21 00 115799299       1
20-MAR-21 01 126199517       2
20-MAR-21 01 128199519       1
20-MAR-21 01 129199510       1
20-MAR-21 01 134199517       1
20-MAR-21 01 135199518       1
20-MAR-21 01 910008021       2
20-MAR-21 03 013710810       1
20-MAR-21 03 013731890       1
20-MAR-21 03 013781059       2
20-MAR-21 03 013782405       1
20-MAR-21 03 013794525       2
20-MAR-21 03 014417580       1
20-MAR-21 03 014516302       1
20-MAR-21 03 014538409       2
20-MAR-21 03 014540721       1
20-MAR-21 03 014554085       1
20-MAR-21 03 014555924       1
20-MAR-21 03 014591716       1
20-MAR-21 03 014768266       1
20-MAR-21 03 099003748       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
20-MAR-21 03 099003750       1
20-MAR-21 03 099008407       4
20-MAR-21 03 099008419       6
20-MAR-21 03 100155387       1
20-MAR-21 03 101795360       1
20-MAR-21 03 103170508       2
20-MAR-21 03 104155381       1
20-MAR-21 03 105795364       1
20-MAR-21 03 105993718       1
20-MAR-21 03 106170501       2
20-MAR-21 03 122799642       1
20-MAR-21 03 123799643       1
20-MAR-21 03 125799645       1
20-MAR-21 03 135944519       1
20-MAR-21 03 137117734       2
20-MAR-21 03 146117735       2
20-MAR-21 03 163929066       1
20-MAR-21 03 163969527       1
20-MAR-21 03 217160023       2
20-MAR-21 03 231007217       1
20-MAR-21 03 235425647       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
20-MAR-21 03 256425642       4
20-MAR-21 03 261126758       1
20-MAR-21 03 263199537       6
20-MAR-21 03 264725143       3
20-MAR-21 03 268416445       1
20-MAR-21 03 277160025       2
20-MAR-21 03 300788188       1
20-MAR-21 03 302499024       1
20-MAR-21 03 303497386       1
20-MAR-21 03 309499021       1
20-MAR-21 03 312148302       1
20-MAR-21 03 320499026       2
20-MAR-21 03 321148303       2
20-MAR-21 03 321788183       2
20-MAR-21 03 323497380       2
20-MAR-21 03 348148304       1
20-MAR-21 03 351499023       1
20-MAR-21 03 351788189       1
20-MAR-21 03 355497388       1
20-MAR-21 03 356788184       1
20-MAR-21 03 362497387       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
20-MAR-21 03 363499027       1
20-MAR-21 03 366497381       1
20-MAR-21 03 367148307       1
20-MAR-21 03 367499021       1
20-MAR-21 03 368148308       1
20-MAR-21 03 369148309       1
20-MAR-21 03 410199550       2
20-MAR-21 03 416951425       1
20-MAR-21 03 421951422       1
20-MAR-21 03 423951424       1
20-MAR-21 03 432951425       1
20-MAR-21 03 435951428       1
20-MAR-21 03 440132710       1
20-MAR-21 03 440139396       1
20-MAR-21 03 600119906       1
20-MAR-21 03 602119908       1
20-MAR-21 03 630124725       1
20-MAR-21 03 654179526       1
