


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-04-03' And DATE '2021-04-03')
AND (SO.SO_STORE_CD Between '00' And '15')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
03-APR-21 01 407180330       1
03-APR-21 01 502062540       1
03-APR-21 01 509089163       1
03-APR-21 01 512030064       1
03-APR-21 01 675133525       1
03-APR-21 03 011944281       1
03-APR-21 03 013748198       1
03-APR-21 03 013762706       1
03-APR-21 03 014456594       1
03-APR-21 03 014476990       1
03-APR-21 03 020955146       1
03-APR-21 03 099003748       1
03-APR-21 03 099003750       1
03-APR-21 03 099007962       2
03-APR-21 03 099007974       1
03-APR-21 03 099008407      10
03-APR-21 03 099008419      11
03-APR-21 03 100155387       2
03-APR-21 03 100799242       2
03-APR-21 03 102790145       1
03-APR-21 03 103171219       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
03-APR-21 03 104171210       1
03-APR-21 03 104174898       1
03-APR-21 03 105913380       1
03-APR-21 03 106913381       1
03-APR-21 03 108913383       1
03-APR-21 03 112193420       1
03-APR-21 03 112790147       1
03-APR-21 03 113171211       1
03-APR-21 03 116770555       1
03-APR-21 03 119193427       1
03-APR-21 03 123969810       1
03-APR-21 03 124969811       1
03-APR-21 03 125969812       1
03-APR-21 03 126176761       1
03-APR-21 03 127176762       1
03-APR-21 03 129176764       1
03-APR-21 03 129799360       1
03-APR-21 03 134176761       1
03-APR-21 03 135176762       1
03-APR-21 03 137117734       1
03-APR-21 03 138117735       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
03-APR-21 03 140918573       1
03-APR-21 03 140930416       1
03-APR-21 03 142117731       2
03-APR-21 03 144130046       1
03-APR-21 03 144646001       2
03-APR-21 03 146117735       2
03-APR-21 03 156944362       1
03-APR-21 03 174197686       1
03-APR-21 03 196930082       1
03-APR-21 03 201914290       1
03-APR-21 03 208770722       1
03-APR-21 03 231770721       1
03-APR-21 03 231907366       1
03-APR-21 03 235770725       1
03-APR-21 03 235907360       1
03-APR-21 03 247943384       1
03-APR-21 03 255109007       4
03-APR-21 03 260757297       4
03-APR-21 03 261770727       6
03-APR-21 03 268943389       1
03-APR-21 03 275943388       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
03-APR-21 03 276943389       1
03-APR-21 03 277943380       1
03-APR-21 03 278943381       1
03-APR-21 03 280148062       1
03-APR-21 03 281148063       1
03-APR-21 03 287943382       1
03-APR-21 03 296914293       6
03-APR-21 03 296943383       6
03-APR-21 03 297942863       2
03-APR-21 03 302148300       1
03-APR-21 03 303497386       1
03-APR-21 03 303555126       1
03-APR-21 03 304499583       1
03-APR-21 03 304785439       1
03-APR-21 03 312497387       1
03-APR-21 03 317167852       1
03-APR-21 03 317499588       2
03-APR-21 03 320167857       2
03-APR-21 03 320555127       2
03-APR-21 03 321148303       2
03-APR-21 03 321431289       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
