




SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-04-06' And DATE '2021-04-06')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;




SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
06-APR-21 01 128199519       1
06-APR-21 01 208775924       1
06-APR-21 01 209775925       1
06-APR-21 01 259775925       4
06-APR-21 01 263775921       2
06-APR-21 01 421199553       1
06-APR-21 01 433199557       1
06-APR-21 01 434199558       1
06-APR-21 01 435199559       2
06-APR-21 03 001913121       1
06-APR-21 03 001921635       1
06-APR-21 03 001940039       1
06-APR-21 03 001940801       1
06-APR-21 03 001957957       1
06-APR-21 03 001997660       1
06-APR-21 03 099008407       3
06-APR-21 03 099008419       3
06-APR-21 03 103170508       1
06-APR-21 03 103790691       1
06-APR-21 03 106170501       1
06-APR-21 03 107765200       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
06-APR-21 03 126858717       1
06-APR-21 03 129765206       1
06-APR-21 03 140777737       1
06-APR-21 03 147199168       1
06-APR-21 03 148199169       1
06-APR-21 03 151191764       2
06-APR-21 03 162953509       1
06-APR-21 03 231109376       1
06-APR-21 03 232109377       1
06-APR-21 03 260346955       2
06-APR-21 03 300799458       1
06-APR-21 03 323783779       2
06-APR-21 03 323799455       2
06-APR-21 03 338785439       2
06-APR-21 03 351785436       1
06-APR-21 03 356198652       1
06-APR-21 03 356799454       1
06-APR-21 03 363785430       1
06-APR-21 03 364198652       1
06-APR-21 03 366799456       1
06-APR-21 03 367434645       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
06-APR-21 03 371198651       1
06-APR-21 03 508056454       1
06-APR-21 03 519043943       2
06-APR-21 03 534003758       1
06-APR-21 03 535030617       1
06-APR-21 03 566994123       1
06-APR-21 03 567994124       1
06-APR-21 03 568994125       1
06-APR-21 03 613715373       1
06-APR-21 03 659128194       1
06-APR-21 03 751716839       1
06-APR-21 03 906141495       2
06-APR-21 03 923127977       1
06-APR-21 04 114795365       1
06-APR-21 04 261714503       6
06-APR-21 04 348691937       1
06-APR-21 04 351711506       1
06-APR-21 04 362691935       1
06-APR-21 04 366691939       1
06-APR-21 04 367711504       1
06-APR-21 04 372711501       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
06-APR-21 04 507046870       1
06-APR-21 04 526046873       1
06-APR-21 04 923124870       1
06-APR-21 04 923139148       1
06-APR-21 04 924185285       2
06-APR-21 04 926119252       1
06-APR-21 04 929160187       1
06-APR-21 04 954214676       1
06-APR-21 04 967005250       1
06-APR-21 04 981019334       1
06-APR-21 06 099007962       2
06-APR-21 06 099007974       1
06-APR-21 06 099008407       2
06-APR-21 06 099008419       2
06-APR-21 06 100911381       1
06-APR-21 06 103170508       1
06-APR-21 06 103178504       1
06-APR-21 06 106170501       1
06-APR-21 06 110911383       1
06-APR-21 06 112752248       1
06-APR-21 06 116770555       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
