


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-04-11' And DATE '2021-04-11')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
11-APR-21 01 115799009       1
11-APR-21 01 214545014       1
11-APR-21 01 256763143       4
11-APR-21 01 506048190       1
11-APR-21 01 507043949       1
11-APR-21 01 508065504       1
11-APR-21 01 509046872       2
11-APR-21 01 550902209       1
11-APR-21 01 551902200       1
11-APR-21 01 554902203       2
11-APR-21 01 555902204       2
11-APR-21 01 568902209       1
11-APR-21 01 570902203       2
11-APR-21 01 571902204       2
11-APR-21 01 769719277       1
11-APR-21 01 910108679       2
11-APR-21 03 014010108       1
11-APR-21 03 099007962       1
11-APR-21 03 099007974       1
11-APR-21 03 099008407       7
11-APR-21 03 099008419       7
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
11-APR-21 03 100157444       2
11-APR-21 03 100908156       1
11-APR-21 03 103178504       1
11-APR-21 03 116199577       1
11-APR-21 03 117199578       1
11-APR-21 03 121199574       1
11-APR-21 03 125908155       1
11-APR-21 03 126915694       1
11-APR-21 03 136199571       2
11-APR-21 03 140936901       1
11-APR-21 03 151177548       1
11-APR-21 03 201550452       1
11-APR-21 03 217145134       1
11-APR-21 03 231770721       1
11-APR-21 03 235770725       1
11-APR-21 03 259770723       5
11-APR-21 03 268549383       1
11-APR-21 03 268779986       1
11-APR-21 03 270779980       1
11-APR-21 03 277145136       1
11-APR-21 03 400760410       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
11-APR-21 03 404760414       1
11-APR-21 03 408760418       1
11-APR-21 03 441915696       3
11-APR-21 03 442915697       2
11-APR-21 03 630436346       2
11-APR-21 03 650436340       1
11-APR-21 03 681119713       1
11-APR-21 03 682724870       1
11-APR-21 03 759487169       1
11-APR-21 03 767163909       1
11-APR-21 03 767777695       1
11-APR-21 03 785141892       1
11-APR-21 03 786141893       1
11-APR-21 03 926130662       1
11-APR-21 03 929128672       1
11-APR-21 03 941125696       1
11-APR-21 03 954215476       1
11-APR-21 03 967203375       2
11-APR-21 04 099000247       1
11-APR-21 04 099003748       1
11-APR-21 04 122196822       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
11-APR-21 04 122799642       1
11-APR-21 04 123799643       1
11-APR-21 04 159199477       2
11-APR-21 04 217199531       1
11-APR-21 04 220199536       1
11-APR-21 04 235799484       1
11-APR-21 04 247799488       1
11-APR-21 04 260799485       4
11-APR-21 04 263199537       8
11-APR-21 04 263799325       3
11-APR-21 04 276199532       1
11-APR-21 04 278199534       1
11-APR-21 04 301188252       1
11-APR-21 04 303555126       1
11-APR-21 04 320555127       2
11-APR-21 04 321188256       2
11-APR-21 04 349555120       2
11-APR-21 04 356555129       1
11-APR-21 04 364555129       1
11-APR-21 04 367555122       1
11-APR-21 04 465294230       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
