

SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-04-20' And DATE '2021-04-20')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
20-APR-21 01 910151202       1
20-APR-21 03 102799244       1
20-APR-21 03 107198447       1
20-APR-21 03 110941615       1
20-APR-21 03 118941613       1
20-APR-21 03 127941614       1
20-APR-21 03 136915292       1
20-APR-21 03 138117735       1
20-APR-21 03 142117731       1
20-APR-21 03 147117736       1
20-APR-21 03 151173350       1
20-APR-21 03 200982949       1
20-APR-21 03 201725148       1
20-APR-21 03 209982948       1
20-APR-21 03 262725141       4
20-APR-21 03 264725143       8
20-APR-21 03 268549383       1
20-APR-21 03 304499583       1
20-APR-21 03 320499583       2
20-APR-21 03 320797559       2
20-APR-21 03 321434641       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
20-APR-21 03 338473969       1
20-APR-21 03 351797556       1
20-APR-21 03 366797553       1
20-APR-21 03 562468693       1
20-APR-21 03 563468694       1
20-APR-21 03 563490590       1
20-APR-21 03 567491065       1
20-APR-21 03 705141896       2
20-APR-21 03 706141897       2
20-APR-21 03 767179964       1
20-APR-21 03 954160392       1
20-APR-21 06 099008407       1
20-APR-21 06 099008419       1
20-APR-21 06 121174394       1
20-APR-21 06 133174398       1
20-APR-21 06 135174390       1
20-APR-21 06 138117735       1
20-APR-21 06 148117737       1
20-APR-21 06 205956468       6
20-APR-21 06 407420304       1
20-APR-21 06 409420306       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
20-APR-21 08 099008407       3
20-APR-21 08 099008419       3
20-APR-21 08 103790691       1
20-APR-21 08 106790694       1
20-APR-21 08 116770555       1
20-APR-21 08 116780758       2
20-APR-21 08 303437962       1
20-APR-21 08 303497386       1
20-APR-21 08 321437964       2
20-APR-21 08 321497388       2
20-APR-21 08 355437964       1
20-APR-21 08 355497388       1
20-APR-21 08 400165139       1
20-APR-21 08 404165133       1
20-APR-21 08 408165137       1
20-APR-21 08 751194540       1
20-APR-21 10 001943097       1
20-APR-21 10 001973381       1
20-APR-21 10 014407882       1
20-APR-21 10 014458295       1
20-APR-21 10 019923920       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
20-APR-21 10 099001958       1
20-APR-21 10 099001960       1
20-APR-21 10 099003748       2
20-APR-21 10 099003750       1
20-APR-21 10 099008407       3
20-APR-21 10 099008419       3
20-APR-21 10 103170508       1
20-APR-21 10 113757910       1
20-APR-21 10 122757911       1
20-APR-21 10 123757912       1
20-APR-21 10 125930683       1
20-APR-21 10 126757915       2
20-APR-21 10 127757916       1
20-APR-21 10 128799509       2
20-APR-21 10 129799500       2
20-APR-21 10 135930685       1
20-APR-21 10 137117734       1
20-APR-21 10 138117735       1
20-APR-21 10 142117731       2
20-APR-21 10 145930687       1
20-APR-21 10 147117736       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
