



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-04-23' And DATE '2021-04-23')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
23-APR-21 01 049972311       1
23-APR-21 01 100142621       1
23-APR-21 01 106142627       1
23-APR-21 01 143943668       2
23-APR-21 01 144646001       4
23-APR-21 01 200906470       1
23-APR-21 01 201906471       1
23-APR-21 01 259612008       6
23-APR-21 01 262411300       2
23-APR-21 01 269157179       1
23-APR-21 01 273199046       1
23-APR-21 01 296920614       6
23-APR-21 01 307487050       1
23-APR-21 01 426785145       1
23-APR-21 01 766199092       1
23-APR-21 01 906014749       1
23-APR-21 01 910109378       2
23-APR-21 01 910112515       1
23-APR-21 01 910184477       2
23-APR-21 01 910214523       1
23-APR-21 01 923115073       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
23-APR-21 01 923115718       1
23-APR-21 01 923118182       1
23-APR-21 01 923118360       1
23-APR-21 01 923118651       1
23-APR-21 01 923118790       1
23-APR-21 01 923121709       1
23-APR-21 01 923213071       1
23-APR-21 01 923213348       1
23-APR-21 01 923213540       1
23-APR-21 01 923217269       1
23-APR-21 01 923217334       1
23-APR-21 01 923742894       1
23-APR-21 01 941017700       1
23-APR-21 01 941720989       1
23-APR-21 01 941721107       1
23-APR-21 01 944725019       1
23-APR-21 01 951118403       1
23-APR-21 01 954122051       1
23-APR-21 01 954725314       1
23-APR-21 01 961150251       1
23-APR-21 03 013794525       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
23-APR-21 03 014400826       1
23-APR-21 03 099003748       2
23-APR-21 03 099003750       2
23-APR-21 03 099008407       3
23-APR-21 03 099008419       5
23-APR-21 03 100976969       1
23-APR-21 03 100977086       2
23-APR-21 03 100991478       1
23-APR-21 03 107914978       1
23-APR-21 03 110976961       1
23-APR-21 03 110991470       1
23-APR-21 03 111964878       1
23-APR-21 03 116772838       1
23-APR-21 03 120991472       1
23-APR-21 03 125979510       1
23-APR-21 03 126979511       1
23-APR-21 03 126990527       1
23-APR-21 03 130991474       1
23-APR-21 03 137117734       1
23-APR-21 03 144922463       1
23-APR-21 03 144989615       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
23-APR-21 03 156988097       1
23-APR-21 03 201725148       1
23-APR-21 03 252770726       2
23-APR-21 03 254725141       2
23-APR-21 03 262725141       4
23-APR-21 03 265530468       3
23-APR-21 03 269725148       1
23-APR-21 03 302738565       1
23-APR-21 03 320738567       2
23-APR-21 03 410799792       1
23-APR-21 03 445199917       1
23-APR-21 03 504023285       1
23-APR-21 03 604706335       1
23-APR-21 03 654743321       1
23-APR-21 03 667706330       1
23-APR-21 03 672950017       1
23-APR-21 03 675140746       1
23-APR-21 03 751196479       1
23-APR-21 03 906775020       1
23-APR-21 03 910020849       2
23-APR-21 03 929009214       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
