


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-05-01' And DATE '2021-05-01')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD, ITM_CD;




SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
01-MAY-21 01 111967711       1
01-MAY-21 01 119199847       1
01-MAY-21 01 122199842       1
01-MAY-21 01 126199846       1
01-MAY-21 01 200750203       1
01-MAY-21 01 207698703       1
01-MAY-21 01 235773593       1
01-MAY-21 01 252698708       2
01-MAY-21 01 260698708       4
01-MAY-21 01 261750206       4
01-MAY-21 01 270698700       1
01-MAY-21 01 294418352       4
01-MAY-21 01 314199717       1
01-MAY-21 01 356991123       1
01-MAY-21 01 367991126       1
01-MAY-21 01 400165040       1
01-MAY-21 01 404165044       1
01-MAY-21 01 406165135       1
01-MAY-21 01 508025219       1
01-MAY-21 01 508048192       1
01-MAY-21 01 676137980       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
01-MAY-21 01 749199293       1
01-MAY-21 01 929006725       1
01-MAY-21 03 099008407       2
01-MAY-21 03 099008419       2
01-MAY-21 03 101922171       1
01-MAY-21 03 103170508       1
01-MAY-21 03 106170501       1
01-MAY-21 03 121900989       1
01-MAY-21 03 122900980       1
01-MAY-21 03 126900984       1
01-MAY-21 03 135947325       1
01-MAY-21 03 144130046       4
01-MAY-21 03 147113360       1
01-MAY-21 03 150116943       1
01-MAY-21 03 151116944       1
01-MAY-21 03 169734158       1
01-MAY-21 03 200126755       1
01-MAY-21 03 200975324       1
01-MAY-21 03 200979067       1
01-MAY-21 03 201126756       1
01-MAY-21 03 209975323       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
01-MAY-21 03 231007217       1
01-MAY-21 03 261126758       3
01-MAY-21 03 268490150       1
01-MAY-21 03 268907523       1
01-MAY-21 03 276907523       1
01-MAY-21 03 287907526       1
01-MAY-21 03 300199711       1
01-MAY-21 03 300783772       1
01-MAY-21 03 303973867       1
01-MAY-21 03 311783775       1
01-MAY-21 03 316199492       1
01-MAY-21 03 317783771       2
01-MAY-21 03 317948149       2
