

SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-05-07' And DATE '2021-05-07')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
07-MAY-21 01 041988102       1
07-MAY-21 01 043956789       1
07-MAY-21 01 051923792       1
07-MAY-21 01 052968343       1
07-MAY-21 01 115799009       1
07-MAY-21 01 252567662       1
07-MAY-21 01 289418355       1
07-MAY-21 01 294418352       4
07-MAY-21 01 306779907       1
07-MAY-21 01 426785145       1
07-MAY-21 01 428785147       1
07-MAY-21 01 446157605       1
07-MAY-21 01 447157606       1
07-MAY-21 03 014453283       1
07-MAY-21 03 014487258       1
07-MAY-21 03 040947371       1
07-MAY-21 03 040989951       1
07-MAY-21 03 041913256       1
07-MAY-21 03 041920403       1
07-MAY-21 03 041923586       1
07-MAY-21 03 043960928       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
07-MAY-21 03 049936947       1
07-MAY-21 03 051929302       1
07-MAY-21 03 052916851       1
07-MAY-21 03 064988781       1
07-MAY-21 03 099008407       2
07-MAY-21 03 099008419       2
07-MAY-21 03 156982350       1
07-MAY-21 03 167199667       1
07-MAY-21 03 231346950       1
07-MAY-21 03 235346954       1
07-MAY-21 03 256442648       4
07-MAY-21 03 259109378       6
07-MAY-21 03 260346955       4
07-MAY-21 03 268114243       1
07-MAY-21 03 268799661       1
07-MAY-21 03 269549384       2
07-MAY-21 03 270195134       1
07-MAY-21 03 304499583       1
07-MAY-21 03 312555127       1
07-MAY-21 03 317499588       2
07-MAY-21 03 320328378       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
07-MAY-21 03 320783776       1
07-MAY-21 03 321188256       2
07-MAY-21 03 321555128       1
07-MAY-21 03 351328375       1
07-MAY-21 03 351499580       1
07-MAY-21 03 356555129       1
07-MAY-21 03 363188256       1
07-MAY-21 03 364188257       1
07-MAY-21 03 365499586       1
07-MAY-21 03 366328372       1
07-MAY-21 03 367188250       1
07-MAY-21 03 367499588       1
07-MAY-21 03 372328370       1
07-MAY-21 03 448189022       1
07-MAY-21 03 449189023       1
07-MAY-21 03 611128629       1
07-MAY-21 03 612128620       1
07-MAY-21 03 634743327       1
07-MAY-21 03 658179520       1
07-MAY-21 03 667153464       1
07-MAY-21 03 926133339       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
07-MAY-21 04 099007974       1
07-MAY-21 04 099008419       1
07-MAY-21 04 100155387       2
07-MAY-21 04 101944420       1
07-MAY-21 04 104944423       1
07-MAY-21 04 127944420       1
07-MAY-21 04 150156923       2
07-MAY-21 04 151183971       1
07-MAY-21 04 156915777       1
07-MAY-21 04 217139078       1
07-MAY-21 04 220139073       1
07-MAY-21 04 224779984       1
07-MAY-21 04 227779987       1
07-MAY-21 04 260784256       4
07-MAY-21 04 261978498       1
07-MAY-21 04 276139079       1
07-MAY-21 04 296978499       1
07-MAY-21 04 302431286       1
07-MAY-21 04 306431280       1
07-MAY-21 04 314199402       2
