


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-05-24' And DATE '2021-05-24')
AND (SO.SO_STORE_CD Between '01' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;




SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
24-MAY-21 01 311799451       1
24-MAY-21 01 316199492       1
24-MAY-21 03 013781059       1
24-MAY-21 03 014408620       1
24-MAY-21 03 099008407       6
24-MAY-21 03 099008419       6
24-MAY-21 03 104174898       1
24-MAY-21 03 113947874       1
24-MAY-21 03 115799299       1
24-MAY-21 03 137117734       2
24-MAY-21 03 151179972       2
24-MAY-21 03 196947873       1
24-MAY-21 03 200915847       1
24-MAY-21 03 202915849       1
24-MAY-21 03 227779987       1
24-MAY-21 03 231010769       1
24-MAY-21 03 259785750       4
24-MAY-21 03 261199535       4
24-MAY-21 03 261716002       4
24-MAY-21 03 301198657       1
24-MAY-21 03 304799577       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
24-MAY-21 03 306198652       1
24-MAY-21 03 309799572       1
24-MAY-21 03 312799577       1
24-MAY-21 03 320698939       1
24-MAY-21 03 320799577       2
24-MAY-21 03 321198651       2
24-MAY-21 03 321698930       1
24-MAY-21 03 351799574       1
24-MAY-21 03 356198652       1
24-MAY-21 03 364198652       1
24-MAY-21 03 367799572       1
24-MAY-21 03 371198651       1
24-MAY-21 03 372799579       1
24-MAY-21 03 434199279       1
24-MAY-21 03 435199270       1
24-MAY-21 03 446199538       2
24-MAY-21 03 447199539       2
24-MAY-21 03 447970333       2
24-MAY-21 03 448970334       4
24-MAY-21 03 450172716       2
24-MAY-21 03 506025217       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
24-MAY-21 03 507030067       1
24-MAY-21 03 508027871       1
24-MAY-21 03 509039839       2
24-MAY-21 03 509046872       1
24-MAY-21 03 518065506       1
24-MAY-21 03 667732068       1
24-MAY-21 03 797199049       1
24-MAY-21 03 807979325       1
24-MAY-21 03 808979326       1
24-MAY-21 03 809979327       1
24-MAY-21 04 099003748       1
24-MAY-21 04 099003750       2
24-MAY-21 04 099008407       1
24-MAY-21 04 099008419       1
24-MAY-21 04 100199101       1
24-MAY-21 04 100790042       1
24-MAY-21 04 100984283       1
24-MAY-21 04 101198011       1
24-MAY-21 04 107772837       1
24-MAY-21 04 112199535       1
24-MAY-21 04 135924973       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
24-MAY-21 04 144933175       1
24-MAY-21 04 201975490       1
24-MAY-21 04 202975491       1
24-MAY-21 04 261716002       4
24-MAY-21 04 261951961       8
24-MAY-21 04 268955120       1
24-MAY-21 04 268969105       1
24-MAY-21 04 270969109       1
24-MAY-21 04 601520845       1
24-MAY-21 04 628982414       1
24-MAY-21 04 633520843       1
24-MAY-21 04 667729136       1
24-MAY-21 04 705139790       1
24-MAY-21 04 788199048       1
24-MAY-21 04 792128956       1
24-MAY-21 04 806144743       1
24-MAY-21 04 810450027       4
24-MAY-21 04 816716003       4
