

SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-05-25' And DATE '2021-05-25')
AND (SO.SO_STORE_CD Between '01' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
25-MAY-21 01 263725142       2
25-MAY-21 01 400955348       1
25-MAY-21 03 013794525       1
25-MAY-21 03 014409773       1
25-MAY-21 03 014410310       1
25-MAY-21 03 064917504       2
25-MAY-21 03 099001958       1
25-MAY-21 03 099001960       1
25-MAY-21 03 099003748       1
25-MAY-21 03 099003750       1
25-MAY-21 03 099008407       5
25-MAY-21 03 099008419      12
25-MAY-21 03 100916571       1
25-MAY-21 03 100975905       1
25-MAY-21 03 102975907       1
25-MAY-21 03 103799005       1
25-MAY-21 03 103975908       1
25-MAY-21 03 105908733       2
25-MAY-21 03 106170501       1
25-MAY-21 03 129770550       1
25-MAY-21 03 135954471       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
25-MAY-21 03 135978495       1
25-MAY-21 03 137117734       1
25-MAY-21 03 146117735       1
25-MAY-21 03 156933561       1
25-MAY-21 03 157933562       1
25-MAY-21 03 158933563       1
25-MAY-21 03 163999772       1
25-MAY-21 03 200929579       1
25-MAY-21 03 200932805       1
25-MAY-21 03 200937843       1
25-MAY-21 03 201929570       1
25-MAY-21 03 201932806       1
25-MAY-21 03 255198383       1
25-MAY-21 03 255199462       1
25-MAY-21 03 263937848       7
25-MAY-21 03 298946254       1
25-MAY-21 03 299946255       1
25-MAY-21 03 300997890       1
25-MAY-21 03 301199495       1
25-MAY-21 03 301487054       1
25-MAY-21 03 303497386       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
25-MAY-21 03 309487052       1
25-MAY-21 03 310971711       1
25-MAY-21 03 310997892       2
25-MAY-21 03 312497387       1
25-MAY-21 03 317167852       1
25-MAY-21 03 317783771       2
25-MAY-21 03 320487057       1
25-MAY-21 03 320799680       2
25-MAY-21 03 321199499       1
25-MAY-21 03 321487058       1
25-MAY-21 03 338783776       2
25-MAY-21 03 351463713       1
25-MAY-21 03 352199496       1
25-MAY-21 03 356487059       1
25-MAY-21 03 356497389       1
25-MAY-21 03 356913573       1
25-MAY-21 03 356920477       1
25-MAY-21 03 356982681       1
25-MAY-21 03 357913574       1
25-MAY-21 03 357920478       1
25-MAY-21 03 364487059       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
25-MAY-21 03 440938441       4
25-MAY-21 03 449932955       1
25-MAY-21 03 508056454       1
25-MAY-21 03 508099808       1
25-MAY-21 03 509030069       2
25-MAY-21 03 509043941       2
25-MAY-21 03 509099190       2
25-MAY-21 03 518025324       1
25-MAY-21 03 519099801       4
25-MAY-21 03 521045256       3
25-MAY-21 03 528099319       1
25-MAY-21 03 534003758       1
25-MAY-21 03 535030617       1
25-MAY-21 03 538099195       1
25-MAY-21 03 557947248       4
25-MAY-21 03 557974219       1
25-MAY-21 03 560974288       2
25-MAY-21 03 563947208       1
