

SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-05-29' And DATE '2021-05-29')
AND (SO.SO_STORE_CD Between '00' And '15')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;


SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
29-MAY-21 01 100171216       1
29-MAY-21 01 101498132       1
29-MAY-21 01 104171210       1
29-MAY-21 01 312473969       1
29-MAY-21 01 506048190       1
29-MAY-21 01 507043949       1
29-MAY-21 03 001725033       1
29-MAY-21 03 013731686       1
29-MAY-21 03 014401981       1
29-MAY-21 03 014406892       1
29-MAY-21 03 099007962       1
29-MAY-21 03 099007974       1
29-MAY-21 03 099008407       7
29-MAY-21 03 099008419       8
29-MAY-21 03 100479915       1
29-MAY-21 03 100941435       1
29-MAY-21 03 106479911       1
29-MAY-21 03 116780758       1
29-MAY-21 03 119199847       1
29-MAY-21 03 120951240       1
29-MAY-21 03 122199842       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
29-MAY-21 03 126165679       3
29-MAY-21 03 126199846       2
29-MAY-21 03 128165671       1
29-MAY-21 03 134165679       1
29-MAY-21 03 135165670       1
29-MAY-21 03 156971307       4
29-MAY-21 03 170785095       1
29-MAY-21 03 196931779       1
29-MAY-21 03 200950562       1
29-MAY-21 03 200980325       1
29-MAY-21 03 208990691       1
29-MAY-21 03 209950561       1
29-MAY-21 03 209980324       1
29-MAY-21 03 210990695       1
29-MAY-21 03 252550453       2
29-MAY-21 03 259550450       4
29-MAY-21 03 263799488       2
29-MAY-21 03 263950567       6
29-MAY-21 03 268549383       1
29-MAY-21 03 268961111       1
29-MAY-21 03 301691932       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
29-MAY-21 03 303497386       1
29-MAY-21 03 304437963       1
29-MAY-21 03 304760689       1
29-MAY-21 03 312760689       1
29-MAY-21 03 313797550       1
29-MAY-21 03 320738567       1
29-MAY-21 03 320760689       2
29-MAY-21 03 321437964       1
29-MAY-21 03 321497388       2
29-MAY-21 03 321691936       1
29-MAY-21 03 323497380       2
29-MAY-21 03 323783779       1
29-MAY-21 03 348328370       1
29-MAY-21 03 351691932       1
29-MAY-21 03 355437964       1
29-MAY-21 03 355738568       2
29-MAY-21 03 356497389       1
29-MAY-21 03 362437963       1
29-MAY-21 03 362738567       4
29-MAY-21 03 363799681       1
29-MAY-21 03 364497389       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
29-MAY-21 03 364691937       1
29-MAY-21 03 365328371       1
29-MAY-21 03 366328372       1
29-MAY-21 03 366437967       1
29-MAY-21 03 366497381       1
29-MAY-21 03 366691939       1
29-MAY-21 03 372799682       1
29-MAY-21 03 400822917       2
29-MAY-21 03 421922229       1
29-MAY-21 03 421933626       1
29-MAY-21 03 423933628       1
29-MAY-21 03 424922222       1
29-MAY-21 03 431933628       1
29-MAY-21 03 432922222       1
29-MAY-21 03 432933629       1
29-MAY-21 03 435933622       1
29-MAY-21 03 437922227       1
29-MAY-21 03 446192217       1
