


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-05-30' And DATE '2021-05-30')
AND (SO.SO_STORE_CD Between '00' And '15')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;

SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
30-MAY-21 01 268770724       1
30-MAY-21 03 099004625       1
30-MAY-21 03 099004637       2
30-MAY-21 03 099008407      12
30-MAY-21 03 099008419      16
30-MAY-21 03 100157444       1
30-MAY-21 03 100772830       1
30-MAY-21 03 103790122       1
30-MAY-21 03 104157448       1
30-MAY-21 03 106199296       2
30-MAY-21 03 111171219       1
30-MAY-21 03 112199294       1
30-MAY-21 03 113171211       1
30-MAY-21 03 113199295       1
30-MAY-21 03 114179864       1
30-MAY-21 03 116772838       1
30-MAY-21 03 119179869       1
30-MAY-21 03 120972612       1
30-MAY-21 03 122713844       1
30-MAY-21 03 123713845       1
30-MAY-21 03 124193424       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
30-MAY-21 03 137117734       1
30-MAY-21 03 144732561       1
30-MAY-21 03 146117735       1
30-MAY-21 03 147138502       2
30-MAY-21 03 147199194       1
30-MAY-21 03 148199195       1
30-MAY-21 03 151187979       2
30-MAY-21 03 163989202       1
30-MAY-21 03 193912168       2
30-MAY-21 03 200427094       1
30-MAY-21 03 200985680       1
30-MAY-21 03 204928204       1
30-MAY-21 03 205928205       1
30-MAY-21 03 210988640       1
30-MAY-21 03 235902207       1
30-MAY-21 03 255425641       3
30-MAY-21 03 255427099       2
30-MAY-21 03 256425642       4
30-MAY-21 03 261427097       4
30-MAY-21 03 262433849       4
30-MAY-21 03 263199537       6
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
30-MAY-21 03 269550452       1
30-MAY-21 03 281902203       1
30-MAY-21 03 302199713       1
30-MAY-21 03 302711684       1
30-MAY-21 03 302738565       1
30-MAY-21 03 303437962       1
30-MAY-21 03 303796722       1
30-MAY-21 03 304788182       1
30-MAY-21 03 309434645       1
30-MAY-21 03 311988642       1
30-MAY-21 03 312437963       1
30-MAY-21 03 317167852       1
30-MAY-21 03 317499588       1
30-MAY-21 03 317691930       1
30-MAY-21 03 320188255       2
30-MAY-21 03 320328378       1
30-MAY-21 03 320499583       1
30-MAY-21 03 320553604       2
30-MAY-21 03 320738567       3
30-MAY-21 03 320788182       2
30-MAY-21 03 321434641       4
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
30-MAY-21 03 321437964       3
30-MAY-21 03 321691936       1
30-MAY-21 03 321785430       2
30-MAY-21 03 321797550       1
30-MAY-21 03 321939728       2
30-MAY-21 03 322167859       2
30-MAY-21 03 323328371       1
30-MAY-21 03 323437966       1
30-MAY-21 03 338785439       2
30-MAY-21 03 347555128       1
30-MAY-21 03 348499585       1
30-MAY-21 03 348691937       1
30-MAY-21 03 350553600       1
30-MAY-21 03 351785436       1
30-MAY-21 03 351788189       1
30-MAY-21 03 351796720       1
30-MAY-21 03 352167855       1
30-MAY-21 03 352199496       1
