



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-06-10' And DATE '2021-06-10')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
10-JUN-21 01 506048190       1
10-JUN-21 01 517043941       1
10-JUN-21 01 681119713       1
10-JUN-21 03 104544689       1
10-JUN-21 03 107544682       1
10-JUN-21 03 140450292       1
10-JUN-21 03 306779907       1
10-JUN-21 03 338473969       1
10-JUN-21 03 627948067       1
10-JUN-21 03 909942129       1
10-JUN-21 03 923131596       1
10-JUN-21 04 100157444       1
10-JUN-21 04 252737269       2
10-JUN-21 04 263495650       3
10-JUN-21 04 359940763       1
10-JUN-21 04 688940761       1
10-JUN-21 04 705126907       1
10-JUN-21 04 774996701       1
10-JUN-21 04 909974784       1
10-JUN-21 06 099003748       1
10-JUN-21 06 099003750       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
10-JUN-21 06 100790042       1
10-JUN-21 06 103799295       1
10-JUN-21 06 109754146       1
10-JUN-21 06 119754148       1
10-JUN-21 06 126754147       2
10-JUN-21 06 127754148       1
10-JUN-21 06 153153514       2
10-JUN-21 06 160799674       1
10-JUN-21 06 626152920       1
10-JUN-21 06 929004555       1
10-JUN-21 06 929705715       1
10-JUN-21 06 944129926       1
10-JUN-21 06 944136399       2
10-JUN-21 06 954108392       1
10-JUN-21 08 103799295       1
10-JUN-21 08 115799299       1
10-JUN-21 08 116770555       2
10-JUN-21 08 254425640       3
10-JUN-21 08 260799485       4
10-JUN-21 08 292112124       1
10-JUN-21 08 300698935       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
10-JUN-21 08 301132041       1
10-JUN-21 08 313691936       1
10-JUN-21 08 320132044       1
10-JUN-21 08 320698939       2
10-JUN-21 08 321691936       2
10-JUN-21 08 348132046       1
10-JUN-21 08 348691937       1
10-JUN-21 08 356799997       1
10-JUN-21 08 362691935       1
10-JUN-21 08 366691939       1
10-JUN-21 08 367799990       1
10-JUN-21 08 400165040       1
10-JUN-21 08 404165044       1
10-JUN-21 08 767179964       1
10-JUN-21 08 767771516       1
10-JUN-21 10 099003748       1
10-JUN-21 10 099003750       1
10-JUN-21 10 099007962       1
10-JUN-21 10 099007974       1
10-JUN-21 10 106776961       2
10-JUN-21 10 108776963       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
10-JUN-21 10 116770555       1
10-JUN-21 10 311550289       1
10-JUN-21 10 400165040       1
10-JUN-21 10 403195921       1
10-JUN-21 10 405195923       1
10-JUN-21 10 518065506       1
10-JUN-21 10 533001955       1
10-JUN-21 10 624142256       2
10-JUN-21 10 624461620       1
10-JUN-21 10 672967391       2
10-JUN-21 10 688461626       2
10-JUN-21 10 769719277       1
10-JUN-21 10 923106264       1
10-JUN-21 11 099008407       1
10-JUN-21 11 099008419       1
10-JUN-21 11 126199517       1
10-JUN-21 11 128199519       1
10-JUN-21 11 129199510       1
