


SELECT SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY)
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V')
AND (SO.SO_WR_DT Between DATE '2020-12-01' And DATE '2020-12-31')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
AND (SO.SO_STORE_CD Between '24' AND '24')
AND (SO_LN.ITM_CD > '100000000')
AND (SO_LN.ITM_CD < '820999999'))
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD
ORDER BY SO.SO_STORE_CD;



SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 100142621              1
24 100155387              3
24 100157444              1
24 100171216              1
24 100425051              1
24 100454975              1
24 100755404              1
24 101100458              1
24 101756748              2
24 103170508              2
24 103454978              1
24 103745444              1
24 103790691              1
24 103799005              1
24 103799295              3
24 103986608              1
24 104155381              3
24 104187097              2
24 105755409              1
24 105795364              1
24 105978083              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 106142627              1
24 106171212              2
24 106425057              1
24 106454971              1
24 106745447              1
24 106790694              1
24 106799298              1
24 106926073              1
24 107772837              1
24 107780745              1
24 107998227              1
24 108425059              2
24 108954187              1
24 108998228              1
24 110909352              1
24 111155380              1
24 111157447              1
24 111756740              1
24 112752248              1
24 112799599              1
24 113155382              3
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 113185335              1
24 113756742              1
24 113780527              1
24 114165675              1
24 114255272              1
24 115168002              1
24 115171213              1
24 115745614              1
24 115927711              1
24 116761758              2
24 116772838              1
24 119199847              1
24 119699671              1
24 122199765              1
24 122199842              1
24 122745447              1
24 122745613              1
24 123745614              1
24 125900351              1
24 126165679              1
24 126176569              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 126176761              1
24 126199276              1
24 126199769              1
24 126199846              1
24 126745441              1
24 127135502              1
24 127199277              1
24 127745618              1
24 128199519              1
24 129135504              1
24 129176562              1
24 129199279              2
24 129199510              2
24 129199762              1
24 129745444              1
24 130166108              1
24 130169988              1
24 130176565              1
24 130199311              1
24 132135509              1
24 133135500              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 133199768              1
24 133745440              1
24 134165679              1
24 134176761              2
24 134199276              1
24 134199517              1
24 135165670              1
24 135176762              2
24 135199277              1
24 135199518              1
24 136935345              2
24 137135504              1
24 137199700              1
24 138117735              1
24 138199270              1
24 138745445              1
24 138799018              1
24 140741491              2
24 140743611              1
24 140918977              1
24 140930478              2
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 142117731              1
24 143968266              1
24 147117736              1
24 147199168              1
24 147982866              1
24 148199169              1
24 148199424              1
24 148199614              1
24 150156923              1
24 150935343              1
24 150965411              1
24 150969508              1
24 151965412              1
24 152965413              1
24 153119625              1
24 153753946              1
24 154928013              1
24 159199148              1
24 163987157              1
24 166542211              1
24 166933246              2
 
